MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
W20-7,FLAGGER SYMBOL SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W20-7.jpg,ETC
W20-7,FLAGGER SYMBOL SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W20-7.jpg,ETC
W20-9,TEMPORARY ROADWAY SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-9.png,PA Highways
W20-9,TEMPORARY ROADWAY SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-9.png,PA Highways
W20-99,TUNNEL LANE CLOSED SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-99.png,PA Highways
W20-99,TUNNEL LANE CLOSED SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w20-99.png,PA Highways
W2-1,CROSS ROAD SIGN,"18""x18""",  18.00 ,  18.00 ,  2.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W2-1.jpg,ETC
W2-1,CROSS ROAD SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W2-1.jpg,ETC
W2-1,CROSS ROAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W2-1.jpg,ETC
W2-1,CROSS ROAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/W2-1.jpg,ETC
W21-101,RAMP WORK AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-101.png,PA Highways
W21-102,WORK AREA AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-102.png,PA Highways
W21-102,WORK AREA AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-102.png,PA Highways
W21-103,RECTANGULAR WORK AREA AHEAD SIGN,"36""x48""",  36.00 ,  48.00 ,  12.00 ,FINISHED,RECTANGLE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-103.png,PA Highways
W21-11,BRIDGE INSPECTION AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-11.png,PA Highways
W21-11,BRIDGE INSPECTION AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-11.png,PA Highways
W21-12,SAND BLASTING AHEAD CLOSE WINDOWS SIGN,"60""x36""",  60.00 ,  36.00 ,  15.00 ,FINISHED,RECTANGLE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-12.png,PA Highways
W21-14,MOWING NEXT (____) MI SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-14.png,PA Highways
W21-14,MOWING NEXT (____) MI SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-14.png,PA Highways
W21-15,COUNTER INSTALLATION AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-15.png,PA Highways
W21-15,COUNTER INSTALLATION AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-15.png,PA Highways
W21-16,NO PAVEMENT MARKINGS SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-16.png,PA Highways
W21-16,NO PAVEMENT MARKINGS SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-16.png,PA Highways
W21-18,LITTER CREW AHEAD SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-18.png,PA Highways
W21-18,LITTER CREW AHEAD SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-18.png,PA Highways
W21-18A,LITTER CREW AHEAD (Square) SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-18a.png,PA Highways
W21-18A,LITTER CREW AHEAD (Square) SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-18a.png,PA Highways
W21-19,ACTIVE WORK ZONE WHEN FLASHING SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-19.png,PA Highways
W21-19,ACTIVE WORK ZONE WHEN FLASHING SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-19.png,PA Highways
W21-2,FRESH OIL SIGN,"30""x30""",  30.00 ,  30.00 ,  6.25 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-2.png,PA Highways
W21-2,FRESH OIL SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,DIAMOND,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-2.png,PA Highways
W21-20,END ACTIVE WORK ZONE SIGN,"36""x36""",  36.00 ,  36.00 ,  9.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-20.png,PA Highways
W21-20,END ACTIVE WORK ZONE SIGN,"48""x48""",  48.00 ,  48.00 ,  16.00 ,FINISHED,SQUARE,WARNING SIGNS,DIAMOND GRADE - TYPE VII,,,PRODUCT,GRIMCO,EA,,,,DGVII,https://etc-images.netlify.app/images/PA-images/w21-20.png,PA Highways
